1.0.1	pṛthvī [17: jsjsylg]
1.2.61	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.62	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
1.2.63	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.64	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.65	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.66	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.67	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.68	anuṣṭubh (1,2: ma-vipulā, 3,4: na-vipulā)
1.2.69	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.70	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.71	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.72	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.73	anuṣṭubh (1,2: na-vipulā, 3,4: ma-vipulā)
1.2.74	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.75	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.76	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.2.77	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.78	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.79	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.80	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.81	mālinī [15: nnmyy]
1.2.82	puṣpitāgrā = [12: nnry] 1,3 + [12: njjrg] 2,4
1.2.83	vasantatilakā [14: tBjjgg]
1.3.1	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.3.2	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.3	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.4	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.5	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.6	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.7	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.8	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.9	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.10	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.3.11	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
