1.0.1	pṛthvī [17: jsjsylg]
9.6.206	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.207	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.208	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.209	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.210	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.211	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.212	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.213	upajāti ...: ajñātam [0: ]
9.6.214	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
9.6.215	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
9.6.216	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.217	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.218	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.219	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.220	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
9.6.221	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.222	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.223	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.224	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.225	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.226	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.227	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.228	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.229	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.230	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.231	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.232	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.233	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.234	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.235	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.236	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.237	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.238	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.239	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.240	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.241	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.242	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.243	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.244	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.245	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.246	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.247	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.248	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.249	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
9.6.250	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.251	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
9.6.252	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.253	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.254	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.255	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.256	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.257	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.258	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.259	anuṣṭubh (1,2: pathyā, 3,4: ra-vipulā)
9.6.260	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.261	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.262	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.263	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.264	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.265	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.266	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.267	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
9.6.268	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.269	anuṣṭubh (1,2: bha-vipulā, 3,4: ra-vipulā)
9.6.270	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.271	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.272	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.273	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.274	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
9.6.275	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.276	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.277	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.278	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.279	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.280	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.281	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.282	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.283	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.284	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.285	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.286	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.287	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.288	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.289	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.290	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.291	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
9.6.292	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.293	anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)
9.6.294	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.295	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.296	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.297	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.298	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.299	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.300	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.301	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.302	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.303	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.304	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.305	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
9.6.306	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.307	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.308	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.309	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.310	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.311	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
9.6.312	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.313	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.314	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.315	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.316	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.317	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.318	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.319	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.320	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.321	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.322	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.323	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.324	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.325	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.326	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.327	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.328	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.329	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.330	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.331	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.332	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.333	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.334	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.335	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
9.6.336	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.337	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.338	āryā (12, 18, 12, 15)
9.6.339	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
9.6.340	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.341	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.342	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.343	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.344	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.345	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.346	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.347	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.348	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
9.6.349	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.350	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
9.6.351	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.352	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.353	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.354	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.355	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.356	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.357	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.358	āryā (12, 18, 12, 15)
9.6.359	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.360	gīti (12, 18, 12, 18)
9.6.361	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.362	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.363	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.364	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
9.6.365	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.366	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.367	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
9.6.368	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.369	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
9.6.370	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.371	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.372	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.373	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
9.6.374	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.375	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.376	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.377	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.378	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.379	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.380	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.381	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.382	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.383	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.384	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.385	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.386	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.387	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.388	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
9.6.389	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.390	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.391	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.392	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.393	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.394	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.395	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.396	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.397	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.398	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.399	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
9.6.400	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.401	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.402	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.403	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.404	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
9.6.405	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.406	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
9.6.407	anuṣṭubh (1,2: pathyā, 3,4: ra-vipulā)
9.6.408	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.409	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
9.6.410	anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)
9.6.411	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
9.6.412	vasantatilakā [14: tBjjgg]
9.6.413	vasantatilakā [14: tBjjgg]
9.6.414	viyoginī = [10: ssjg] 1,3 + [11: sBrlg] 2,4
9.6.415	gīti (12, 18, 12, 18)
9.6.416	śārdūlavikrīḍitā [19: msjsttg]
9.6.417	gīti (12, 18, 12, 18)
9.6.418	āryā (12, 18, 12, 15)
9.6.419	āryā (12, 18, 12, 15)
9.6.420	aupacchandasika = [11: ssjgg] 1,3 + [12: sBry] 2,4
9.6.421	āryā (12, 18, 12, 15)
9.6.422	āryā (12, 18, 12, 15)
9.6.423	āryā (12, 18, 12, 15)
9.6.424	vasantatilakā [14: tBjjgg]
10.0.1	pṛthvī [17: jsjsylg]
10.1.1	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
10.1.2	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.3	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.4	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
10.1.5	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.6	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.7	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.8	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.9	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.10	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.11	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.12	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
10.1.13	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.14	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.15	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.16	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.17	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
10.1.18	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.19	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.20	anuṣṭubh (1,2: ma-vipulā, 3,4: bha-vipulā)
10.1.21	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.22	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.23	anuṣṭubh (1,2: ma-vipulā, 3,4: na-vipulā)
10.1.24	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.25	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.26	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.27	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.28	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.29	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.30	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.31	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.32	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.33	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.34	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.35	ajñātasamavṛtta [2: ll] (? 2 eva pādāḥ yuktāḥ)
10.1.36	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.37	anuṣṭubh (1,2: pathyā, 3,4: ra-vipulā)
10.1.38	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.39	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.40	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
10.1.41	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.42	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.43	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.44	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.45	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.46	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.47	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.48	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.49	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.50	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.51	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.52	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.53	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.54	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.55	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.56	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.57	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.58	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.59	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.60	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
10.1.61	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.62	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
10.1.63	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.64	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.65	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
10.1.66	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.67	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.68	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.69	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.70	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.71	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.72	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.73	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.74	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.75	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.76	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.77	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.78	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.79	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.80	anuṣṭubh (1,2: bha-vipulā, 3,4: na-vipulā)
10.1.81	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.82	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.83	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.84	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.85	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.86	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.87	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.88	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.89	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
10.1.90	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.91	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.92	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.93	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.94	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.95	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.96	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.97	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.98	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
10.1.99	anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)
10.1.100	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.101	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.102	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.103	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.104	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.105	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.106	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.107	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.108	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.109	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.110	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.111	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.112	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.113	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.114	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.115	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.116	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.117	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.118	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
10.1.119	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.120	anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)
10.1.121	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.122	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.123	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.124	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.125	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.126	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.127	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.128	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.129	anuṣṭubh (1,2: bha-vipulā, 3,4: ma-vipulā)
10.1.130	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.131	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.132	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.133	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.134	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.135	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.136	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.137	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.138	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.139	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.140	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.141	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.142	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.143	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.144	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.145	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.146	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
10.1.147	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.148	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.149	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.150	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.151	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.152	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.153	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
10.1.154	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
10.1.155	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.156	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.157	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
10.1.158	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.159	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.160	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.161	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.162	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.163	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.164	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.165	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.166	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.167	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.168	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.169	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.170	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.171	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.172	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.173	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
10.1.174	aupacchandasika = [11: ssjgg] 1,3 + [12: sBry] 2,4
10.1.175	gīti (12, 18, 12, 18)
10.1.176	vasantatilakā [14: tBjjgg]
10.1.177	gīti (12, 18, 12, 18)
10.2.1	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
